consent_resp.keys,consent_resp.rt,participant,session,Age,date,expName,psychopyVersion,OS,frameRate,overview_resp.keys,overview_resp.rt,Pracstudy_resp.keys,Pracstudy_resp.rt,IndoorOutdoor_resp.keys,IndoorOutdoor_resp.corr,IndoorOutdoor_resp.rt,pracstudy_loop.thisRepN,pracstudy_loop.thisTrialN,pracstudy_loop.thisN,pracstudy_loop.thisIndex,pracstudy_loop.ran,scene_pracstudy,scene_pracstudy_corr,probe,phase,practest_instruct_resp.keys,practest_instruct_resp.rt,practest_instruct_loop.thisRepN,practest_instruct_loop.thisTrialN,practest_instruct_loop.thisN,practest_instruct_loop.thisIndex,practest_instruct_loop.ran,Practest_instruct_resp2.keys,Practest_instruct_resp2.rt,OldNew_resp.keys,OldNew_resp.corr,PracTest_RK_resp.keys,practest_loop.thisRepN,practest_loop.thisTrialN,practest_loop.thisN,practest_loop.thisIndex,practest_loop.ran,scene_practest,scene_practest_corr,OldNew_resp.rt,PracTest_RK_resp.rt,PracEnd_resp.keys,PracEnd_resp.rt,StartExp_resp.keys,StartExp_resp.rt,StudyInstruct_resp.keys,StudyInstruct_resp.rt,Study_IndoorOutdoor_resp.keys,Study_IndoorOutdoor_resp.corr,Study_IndoorOutdoor_resp.rt,study_loop.thisRepN,study_loop.thisTrialN,study_loop.thisN,study_loop.thisIndex,study_loop.ran,scene_study,scene_study_corr,block,studyscene_number,TestInstruct_resp.keys,TestInstruct_resp.rt,Test_OldNew_resp.keys,Test_OldNew_resp.corr,Test_OldNew_resp.rt,Test_RK_resp.keys,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,test_loop.ran,scene_test,scene_test_corr,testscene_number,Test_RK_resp.rt,End_Exp_resp.keys,End_Exp_resp.rt
,,349231,1,Young,2023-11-18_20h39.04.202,Scene_Recog_Nov10,2022.2.2,MacIntel,120.0048002,,,,,,,,,,,,,,,target,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,n,0,0.7703,,0,1,1,1,1,stimuli/scene/beach_V1.jpg,b,2,,,
,,349231,1,Young,2023-11-18_20h39.04.202,Scene_Recog_Nov10,2022.2.2,MacIntel,120.0048002,,,,,,,,,,,,,,,lure,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,n,1,0.8364,,0,2,2,0,1,stimuli/scene/barn_V1.jpg,n,1,,,
,,349231,1,Young,2023-11-18_20h39.04.202,Scene_Recog_Nov10,2022.2.2,MacIntel,120.0048002,,,,,,,,,,,,,,,foil,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,n,1,0.5577,,0,3,3,2,1,stimuli/scene/cattlefarm_V2.jpg,n,3,,,
,,349231,1,Young,2023-11-18_20h39.04.202,Scene_Recog_Nov10,2022.2.2,MacIntel,120.0048002,,,,,,,,,,,,,,,target,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,b,1,1.7696,r,0,4,4,4,1,stimuli/scene/buffet_V2.jpg,b,5,2.7637,,
,,349231,1,Young,2023-11-18_20h39.04.202,Scene_Recog_Nov10,2022.2.2,MacIntel,120.0048002,,,,,,,,,,,,,,,lure,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,n,1,1.9846,,0,5,5,5,1,stimuli/scene/butcher_V1.jpg,n,6,,,
,,349231,1,Young,2023-11-18_20h39.04.202,Scene_Recog_Nov10,2022.2.2,MacIntel,120.0048002,,,,,,,,,,,,,,,foil,study,,,,,,,,,,,,,,,,,,,,,,,,,,space,3.1019,i,1,2.9078,0,0,0,2,1,stimuli/scene/bed_V2.jpg,i,3,3,,,,,,,,,,,,,,,,,
,,349231,1,Young,2023-11-18_20h39.04.202,Scene_Recog_Nov10,2022.2.2,MacIntel,120.0048002,,,,,,,,,,,,,,,lure,study,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,1,0.6858,0,1,1,5,1,stimuli/scene/butcher_V2.jpg,i,3,6,,,,,,,,,,,,,,,,,
,,349231,1,Young,2023-11-18_20h39.04.202,Scene_Recog_Nov10,2022.2.2,MacIntel,120.0048002,,,,,,,,,,,,,,,target,study,,,,,,,,,,,,,,,,,,,,,,,,,,,,o,1,0.7633,0,2,2,1,1,stimuli/scene/beach_V1.jpg,o,3,2,,,,,,,,,,,,,,,,,
,,349231,1,Young,2023-11-18_20h39.04.202,Scene_Recog_Nov10,2022.2.2,MacIntel,120.0048002,,,,,,,,,,,,,,,foil,study,,,,,,,,,,,,,,,,,,,,,,,,,,,,o,1,0.9967,0,3,3,3,1,stimuli/scene/bridge_V2.jpg,o,3,4,,,,,,,,,,,,,,,,,
,,349231,1,Young,2023-11-18_20h39.04.202,Scene_Recog_Nov10,2022.2.2,MacIntel,120.0048002,,,,,,,,,,,,,,,lure,study,,,,,,,,,,,,,,,,,,,,,,,,,,,,o,1,1.4149,0,4,4,0,1,stimuli/scene/barn_V2.jpg,o,3,1,,,,,,,,,,,,,,,,,
,,349231,1,Young,2023-11-18_20h39.04.202,Scene_Recog_Nov10,2022.2.2,MacIntel,120.0048002,,,,,,,,,,,,,,,target,study,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,1,1.9493,0,5,5,4,1,stimuli/scene/buffet_V2.jpg,i,3,5,,,,,,,,,,,,,,,,,
,,349231,1,Young,2023-11-18_20h39.04.202,Scene_Recog_Nov10,2022.2.2,MacIntel,120.0048002,,,,,,,,,,,,,,,target,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,space,2.6991,b,1,1.651,r,0,0,0,1,1,stimuli/scene/beach_V1.jpg,b,2,1.4714,,
,,349231,1,Young,2023-11-18_20h39.04.202,Scene_Recog_Nov10,2022.2.2,MacIntel,120.0048002,,,,,,,,,,,,,,,lure,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,b,0,1.7728,r,0,1,1,0,1,stimuli/scene/barn_V1.jpg,n,1,1.4142,,
,,349231,1,Young,2023-11-18_20h39.04.202,Scene_Recog_Nov10,2022.2.2,MacIntel,120.0048002,,,,,,,,,,,,,,,foil,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,b,0,1.9685,k,0,2,2,3,1,stimuli/scene/cactus_V2.jpg,n,4,3.1494,,
,,349231,1,Young,2023-11-18_20h39.04.202,Scene_Recog_Nov10,2022.2.2,MacIntel,120.0048002,,,,,,,,,,,,,,,target,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,b,1,2.4593,r,0,3,3,4,1,stimuli/scene/buffet_V2.jpg,b,5,1.431,,
,,349231,1,Young,2023-11-18_20h39.04.202,Scene_Recog_Nov10,2022.2.2,MacIntel,120.0048002,,,,,,,,,,,,,,,foil,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,n,1,2.159,,0,4,4,2,1,stimuli/scene/cattlefarm_V2.jpg,n,3,,,
,,349231,1,Young,2023-11-18_20h39.04.202,Scene_Recog_Nov10,2022.2.2,MacIntel,120.0048002,,,,,,,,,,,,,,,lure,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,b,0,2.1014,r,0,5,5,5,1,stimuli/scene/butcher_V1.jpg,n,6,1.9408,,
,,349231,1,Young,2023-11-18_20h39.04.202,Scene_Recog_Nov10,2022.2.2,MacIntel,120.0048002,,,,,,,,,,,,,,,lure,study,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.1388,i,0,2.8737,0,0,0,0,1,stimuli/scene/barn_V2.jpg,o,2,1,,,,,,,,,,,,,,,,,
,,349231,1,Young,2023-11-18_20h39.04.202,Scene_Recog_Nov10,2022.2.2,MacIntel,120.0048002,,,,,,,,,,,,,,,lure,study,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,1,1.2029,0,1,1,5,1,stimuli/scene/butcher_V2.jpg,i,2,6,,,,,,,,,,,,,,,,,
,,349231,1,Young,2023-11-18_20h39.04.202,Scene_Recog_Nov10,2022.2.2,MacIntel,120.0048002,,,,,,,,,,,,,,,foil,study,,,,,,,,,,,,,,,,,,,,,,,,,,,,o,1,0.8591,0,2,2,3,1,stimuli/scene/bridge_V2.jpg,o,2,4,,,,,,,,,,,,,,,,,
,,349231,1,Young,2023-11-18_20h39.04.202,Scene_Recog_Nov10,2022.2.2,MacIntel,120.0048002,,,,,,,,,,,,,,,target,study,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,0,0.7591,0,3,3,1,1,stimuli/scene/beach_V1.jpg,o,2,2,,,,,,,,,,,,,,,,,
,,349231,1,Young,2023-11-18_20h39.04.202,Scene_Recog_Nov10,2022.2.2,MacIntel,120.0048002,,,,,,,,,,,,,,,target,study,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,1,0.6107,0,4,4,4,1,stimuli/scene/buffet_V2.jpg,i,2,5,,,,,,,,,,,,,,,,,
,,349231,1,Young,2023-11-18_20h39.04.202,Scene_Recog_Nov10,2022.2.2,MacIntel,120.0048002,,,,,,,,,,,,,,,foil,study,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,1,0.6629,0,5,5,2,1,stimuli/scene/bed_V2.jpg,i,2,3,,,,,,,,,,,,,,,,,
,,349231,1,Young,2023-11-18_20h39.04.202,Scene_Recog_Nov10,2022.2.2,MacIntel,120.0048002,,,,,,,,,,,,,,,target,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,space,0.7659,b,1,1.4999,r,0,0,0,4,1,stimuli/scene/buffet_V2.jpg,b,5,0.4459,,
,,349231,1,Young,2023-11-18_20h39.04.202,Scene_Recog_Nov10,2022.2.2,MacIntel,120.0048002,,,,,,,,,,,,,,,lure,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,n,1,0.9363,,0,1,1,0,1,stimuli/scene/barn_V1.jpg,n,1,,,
,,349231,1,Young,2023-11-18_20h39.04.202,Scene_Recog_Nov10,2022.2.2,MacIntel,120.0048002,,,,,,,,,,,,,,,lure,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,0,,k,0,2,2,5,1,stimuli/scene/butcher_V1.jpg,n,6,1.4589,,
,,349231,1,Young,2023-11-18_20h39.04.202,Scene_Recog_Nov10,2022.2.2,MacIntel,120.0048002,,,,,,,,,,,,,,,foil,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,n,1,1.6419,,0,3,3,2,1,stimuli/scene/cattlefarm_V2.jpg,n,3,,,
,,349231,1,Young,2023-11-18_20h39.04.202,Scene_Recog_Nov10,2022.2.2,MacIntel,120.0048002,,,,,,,,,,,,,,,target,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,b,1,1.3074,r,0,4,4,1,1,stimuli/scene/beach_V1.jpg,b,2,0.5793,,
,,349231,1,Young,2023-11-18_20h39.04.202,Scene_Recog_Nov10,2022.2.2,MacIntel,120.0048002,,,,,,,,,,,,,,,foil,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,n,1,1.5683,,0,5,5,3,1,stimuli/scene/cactus_V2.jpg,n,4,,,
,,349231,1,Young,2023-11-18_20h39.04.202,Scene_Recog_Nov10,2022.2.2,MacIntel,120.0048002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.4382
