consent_resp.keys,consent_resp.rt,participant,session,Age,date,expName,psychopyVersion,OS,frameRate,overview_resp.keys,overview_resp.rt,Pracstudy_resp.keys,Pracstudy_resp.rt,IndoorOutdoor_resp.keys,IndoorOutdoor_resp.corr,IndoorOutdoor_resp.rt,pracstudy_loop.thisRepN,pracstudy_loop.thisTrialN,pracstudy_loop.thisN,pracstudy_loop.thisIndex,pracstudy_loop.ran,scene_pracstudy,scene_pracstudy_corr,probe,phase,practest_instruct_resp.keys,practest_instruct_resp.rt,practest_instruct_loop.thisRepN,practest_instruct_loop.thisTrialN,practest_instruct_loop.thisN,practest_instruct_loop.thisIndex,practest_instruct_loop.ran,Practest_instruct_resp2.keys,Practest_instruct_resp2.rt,OldNew_resp.keys,OldNew_resp.corr,OldNew_resp.rt,PracTest_RK_resp.keys,PracTest_RK_resp.rt,practest_loop.thisRepN,practest_loop.thisTrialN,practest_loop.thisN,practest_loop.thisIndex,practest_loop.ran,scene_practest,scene_practest_corr,PracEnd_resp.keys,PracEnd_resp.rt,StartExp_resp.keys,StartExp_resp.rt,StudyInstruct_resp.keys,StudyInstruct_resp.rt,Study_IndoorOutdoor_resp.keys,Study_IndoorOutdoor_resp.corr,Study_IndoorOutdoor_resp.rt,study_loop.thisRepN,study_loop.thisTrialN,study_loop.thisN,study_loop.thisIndex,study_loop.ran,scene_study,scene_study_corr,block,studyscene_number,TestInstruct_resp.keys,TestInstruct_resp.rt,Test_OldNew_resp.keys,Test_OldNew_resp.corr,Test_OldNew_resp.rt,Test_RK_resp.keys,Test_RK_resp.rt,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,test_loop.ran,scene_test,scene_test_corr,testscene_number,End_Exp_resp.keys,End_Exp_resp.rt
,,789854,1,Old,2023-11-18_20h36.25.864,Scene_Recog_Nov10,2022.2.2,Win32,29.9940012,,,,,,,,,,,,,,,,,right,0.174,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,789854,1,Old,2023-11-18_20h36.25.864,Scene_Recog_Nov10,2022.2.2,Win32,29.9940012,,,,,,,,,,,,,,,,,right,0.414,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,789854,1,Old,2023-11-18_20h36.25.864,Scene_Recog_Nov10,2022.2.2,Win32,29.9940012,,,,,,,,,,,,,,,,,right,0.178,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,789854,1,Old,2023-11-18_20h36.25.864,Scene_Recog_Nov10,2022.2.2,Win32,29.9940012,,,,,,,,,,,,,,,,,right,0.571,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,789854,1,Old,2023-11-18_20h36.25.864,Scene_Recog_Nov10,2022.2.2,Win32,29.9940012,,,,,,,,,,,,,,,,,right,2.569,6,0,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,789854,1,Old,2023-11-18_20h36.25.864,Scene_Recog_Nov10,2022.2.2,Win32,29.9940012,,,,,,,,,,,,,,,,,,,,,,,,space,1.133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,789854,1,Old,2023-11-18_20h36.25.864,Scene_Recog_Nov10,2022.2.2,Win32,29.9940012,,,,,,,,,,,,,,,target,practest,,,,,,,,,,b,1,2.71,r,1.784,0,0,0,1,1,prac_stimuli/pracscene/air_V1.jpg,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,789854,1,Old,2023-11-18_20h36.25.864,Scene_Recog_Nov10,2022.2.2,Win32,29.9940012,,,,,,,,,,,,,,,lure,practest,,,,,,,,,,n,1,0.839,,,0,1,1,0,1,prac_stimuli/pracscene/africaslums_V1.jpg,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,789854,1,Old,2023-11-18_20h36.25.864,Scene_Recog_Nov10,2022.2.2,Win32,29.9940012,,,,,,,,,,,,,,,lure,practest,,,,,,,,,,b,0,3.356,r,1.354,0,2,2,5,1,prac_stimuli/pracscene/bath_V2.jpg,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,789854,1,Old,2023-11-18_20h36.25.864,Scene_Recog_Nov10,2022.2.2,Win32,29.9940012,,,,,,,,,,,,,,,foil,practest,,,,,,,,,,n,1,0.694,,,0,3,3,3,1,prac_stimuli/pracscene/bike_V1.jpg,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,789854,1,Old,2023-11-18_20h36.25.864,Scene_Recog_Nov10,2022.2.2,Win32,29.9940012,,,,,,,,,,,,,,,foil,practest,,,,,,,,,,b,0,0.68,r,1.047,0,4,4,2,1,prac_stimuli/pracscene/brickroad_V1.jpg,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,789854,1,Old,2023-11-18_20h36.25.864,Scene_Recog_Nov10,2022.2.2,Win32,29.9940012,,,,,,,,,,,,,,,target,practest,,,,,,,,,,n,0,0.754,,,0,5,5,4,1,prac_stimuli/pracscene/basketballschool_V1.jpg,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,789854,1,Old,2023-11-18_20h36.25.864,Scene_Recog_Nov10,2022.2.2,Win32,29.9940012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,142.014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,789854,1,Old,2023-11-18_20h36.25.864,Scene_Recog_Nov10,2022.2.2,Win32,29.9940012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,789854,1,Old,2023-11-18_20h36.25.864,Scene_Recog_Nov10,2022.2.2,Win32,29.9940012,,,,,,,,,,,,,,,lure,study,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.793,i,0,1.505,0,0,0,0,1,stimuli/scene/barn_V2.jpg,o,1,1,,,,,,,,,,,,,,,,,
,,789854,1,Old,2023-11-18_20h36.25.864,Scene_Recog_Nov10,2022.2.2,Win32,29.9940012,,,,,,,,,,,,,,,target,study,,,,,,,,,,,,,,,,,,,,,,,,,,,,o,0,0.649,0,1,1,4,1,stimuli/scene/buffet_V2.jpg,i,1,5,,,,,,,,,,,,,,,,,
,,789854,1,Old,2023-11-18_20h36.25.864,Scene_Recog_Nov10,2022.2.2,Win32,29.9940012,,,,,,,,,,,,,,,target,study,,,,,,,,,,,,,,,,,,,,,,,,,,,,o,1,0.914,0,2,2,1,1,stimuli/scene/beach_V1.jpg,o,1,2,,,,,,,,,,,,,,,,,
,,789854,1,Old,2023-11-18_20h36.25.864,Scene_Recog_Nov10,2022.2.2,Win32,29.9940012,,,,,,,,,,,,,,,foil,study,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,1,1.446,0,3,3,2,1,stimuli/scene/bed_V2.jpg,i,1,3,,,,,,,,,,,,,,,,,
,,789854,1,Old,2023-11-18_20h36.25.864,Scene_Recog_Nov10,2022.2.2,Win32,29.9940012,,,,,,,,,,,,,,,foil,study,,,,,,,,,,,,,,,,,,,,,,,,,,,,o,1,1.719,0,4,4,3,1,stimuli/scene/bridge_V2.jpg,o,1,4,,,,,,,,,,,,,,,,,
,,789854,1,Old,2023-11-18_20h36.25.864,Scene_Recog_Nov10,2022.2.2,Win32,29.9940012,,,,,,,,,,,,,,,lure,study,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,5,5,5,1,stimuli/scene/butcher_V2.jpg,i,1,6,,,,,,,,,,,,,,,,,
,,789854,1,Old,2023-11-18_20h36.25.864,Scene_Recog_Nov10,2022.2.2,Win32,29.9940012,,,,,,,,,,,,,,,lure,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,space,1026.187,b,0,1.808,r,1.277,0,0,0,5,1,stimuli/scene/butcher_V1.jpg,n,6,,
,,789854,1,Old,2023-11-18_20h36.25.864,Scene_Recog_Nov10,2022.2.2,Win32,29.9940012,,,,,,,,,,,,,,,lure,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,b,0,1.086,r,1.822,0,1,1,0,1,stimuli/scene/barn_V1.jpg,n,1,,
,,789854,1,Old,2023-11-18_20h36.25.864,Scene_Recog_Nov10,2022.2.2,Win32,29.9940012,,,,,,,,,,,,,,,foil,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,n,1,0.979,,,0,2,2,3,1,stimuli/scene/cactus_V2.jpg,n,4,,
,,789854,1,Old,2023-11-18_20h36.25.864,Scene_Recog_Nov10,2022.2.2,Win32,29.9940012,,,,,,,,,,,,,,,foil,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,n,1,0.862,,,0,3,3,2,1,stimuli/scene/cattlefarm_V2.jpg,n,3,,
,,789854,1,Old,2023-11-18_20h36.25.864,Scene_Recog_Nov10,2022.2.2,Win32,29.9940012,,,,,,,,,,,,,,,target,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,b,1,0.985,r,1.027,0,4,4,1,1,stimuli/scene/beach_V1.jpg,b,2,,
,,789854,1,Old,2023-11-18_20h36.25.864,Scene_Recog_Nov10,2022.2.2,Win32,29.9940012,,,,,,,,,,,,,,,target,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,n,0,1.258,,,0,5,5,4,1,stimuli/scene/buffet_V2.jpg,b,5,,
,,789854,1,Old,2023-11-18_20h36.25.864,Scene_Recog_Nov10,2022.2.2,Win32,29.9940012,,,,,,,,,,,,,,,lure,study,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.466,o,1,1.78,0,0,0,0,1,stimuli/scene/barn_V2.jpg,o,3,1,,,,,,,,,,,,,,,,,
,,789854,1,Old,2023-11-18_20h36.25.864,Scene_Recog_Nov10,2022.2.2,Win32,29.9940012,,,,,,,,,,,,,,,target,study,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,0,0.785,0,1,1,1,1,stimuli/scene/beach_V1.jpg,o,3,2,,,,,,,,,,,,,,,,,
,,789854,1,Old,2023-11-18_20h36.25.864,Scene_Recog_Nov10,2022.2.2,Win32,29.9940012,,,,,,,,,,,,,,,foil,study,,,,,,,,,,,,,,,,,,,,,,,,,,,,o,1,0.75,0,2,2,3,1,stimuli/scene/bridge_V2.jpg,o,3,4,,,,,,,,,,,,,,,,,
,,789854,1,Old,2023-11-18_20h36.25.864,Scene_Recog_Nov10,2022.2.2,Win32,29.9940012,,,,,,,,,,,,,,,target,study,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,1,0.497,0,3,3,4,1,stimuli/scene/buffet_V2.jpg,i,3,5,,,,,,,,,,,,,,,,,
,,789854,1,Old,2023-11-18_20h36.25.864,Scene_Recog_Nov10,2022.2.2,Win32,29.9940012,,,,,,,,,,,,,,,foil,study,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,1,1.206,0,4,4,2,1,stimuli/scene/bed_V2.jpg,i,3,3,,,,,,,,,,,,,,,,,
,,789854,1,Old,2023-11-18_20h36.25.864,Scene_Recog_Nov10,2022.2.2,Win32,29.9940012,,,,,,,,,,,,,,,lure,study,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,1,0.852,0,5,5,5,1,stimuli/scene/butcher_V2.jpg,i,3,6,,,,,,,,,,,,,,,,,
,,789854,1,Old,2023-11-18_20h36.25.864,Scene_Recog_Nov10,2022.2.2,Win32,29.9940012,,,,,,,,,,,,,,,target,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,space,1.151,n,0,1.835,,,0,0,0,1,1,stimuli/scene/beach_V1.jpg,b,2,,
,,789854,1,Old,2023-11-18_20h36.25.864,Scene_Recog_Nov10,2022.2.2,Win32,29.9940012,,,,,,,,,,,,,,,foil,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,n,1,2.315,,,0,1,1,3,1,stimuli/scene/cactus_V2.jpg,n,4,,
,,789854,1,Old,2023-11-18_20h36.25.864,Scene_Recog_Nov10,2022.2.2,Win32,29.9940012,,,,,,,,,,,,,,,foil,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,n,1,1.833,,,0,2,2,2,1,stimuli/scene/cattlefarm_V2.jpg,n,3,,
,,789854,1,Old,2023-11-18_20h36.25.864,Scene_Recog_Nov10,2022.2.2,Win32,29.9940012,,,,,,,,,,,,,,,lure,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,b,0,0.942,k,1.185,0,3,3,5,1,stimuli/scene/butcher_V1.jpg,n,6,,
,,789854,1,Old,2023-11-18_20h36.25.864,Scene_Recog_Nov10,2022.2.2,Win32,29.9940012,,,,,,,,,,,,,,,target,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,b,1,1.091,r,0.598,0,4,4,4,1,stimuli/scene/buffet_V2.jpg,b,5,,
,,789854,1,Old,2023-11-18_20h36.25.864,Scene_Recog_Nov10,2022.2.2,Win32,29.9940012,,,,,,,,,,,,,,,lure,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,b,0,0.782,r,0.46,0,5,5,0,1,stimuli/scene/barn_V1.jpg,n,1,,
,,789854,1,Old,2023-11-18_20h36.25.864,Scene_Recog_Nov10,2022.2.2,Win32,29.9940012,,,,,,,,,,,,,,,foil,study,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.821,i,0,0.482,0,0,0,3,1,stimuli/scene/bridge_V2.jpg,o,2,4,,,,,,,,,,,,,,,,,
,,789854,1,Old,2023-11-18_20h36.25.864,Scene_Recog_Nov10,2022.2.2,Win32,29.9940012,,,,,,,,,,,,,,,lure,study,,,,,,,,,,,,,,,,,,,,,,,,,,,,o,1,0.449,0,1,1,0,1,stimuli/scene/barn_V2.jpg,o,2,1,,,,,,,,,,,,,,,,,
,,789854,1,Old,2023-11-18_20h36.25.864,Scene_Recog_Nov10,2022.2.2,Win32,29.9940012,,,,,,,,,,,,,,,foil,study,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,1,0.326,0,2,2,2,1,stimuli/scene/bed_V2.jpg,i,2,3,,,,,,,,,,,,,,,,,
,,789854,1,Old,2023-11-18_20h36.25.864,Scene_Recog_Nov10,2022.2.2,Win32,29.9940012,,,,,,,,,,,,,,,target,study,,,,,,,,,,,,,,,,,,,,,,,,,,,,o,1,0.421,0,3,3,1,1,stimuli/scene/beach_V1.jpg,o,2,2,,,,,,,,,,,,,,,,,
,,789854,1,Old,2023-11-18_20h36.25.864,Scene_Recog_Nov10,2022.2.2,Win32,29.9940012,,,,,,,,,,,,,,,lure,study,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,1,0.642,0,4,4,5,1,stimuli/scene/butcher_V2.jpg,i,2,6,,,,,,,,,,,,,,,,,
,,789854,1,Old,2023-11-18_20h36.25.864,Scene_Recog_Nov10,2022.2.2,Win32,29.9940012,,,,,,,,,,,,,,,target,study,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,1,1.291,0,5,5,4,1,stimuli/scene/buffet_V2.jpg,i,2,5,,,,,,,,,,,,,,,,,
,,789854,1,Old,2023-11-18_20h36.25.864,Scene_Recog_Nov10,2022.2.2,Win32,29.9940012,,,,,,,,,,,,,,,lure,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,space,0.946,b,0,1.124,r,1.044,0,0,0,5,1,stimuli/scene/butcher_V1.jpg,n,6,,
,,789854,1,Old,2023-11-18_20h36.25.864,Scene_Recog_Nov10,2022.2.2,Win32,29.9940012,,,,,,,,,,,,,,,lure,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,b,0,0.738,k,0.467,0,1,1,0,1,stimuli/scene/barn_V1.jpg,n,1,,
,,789854,1,Old,2023-11-18_20h36.25.864,Scene_Recog_Nov10,2022.2.2,Win32,29.9940012,,,,,,,,,,,,,,,target,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,b,1,0.76,k,0.448,0,2,2,4,1,stimuli/scene/buffet_V2.jpg,b,5,,
,,789854,1,Old,2023-11-18_20h36.25.864,Scene_Recog_Nov10,2022.2.2,Win32,29.9940012,,,,,,,,,,,,,,,foil,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,n,1,0.678,,,0,3,3,2,1,stimuli/scene/cattlefarm_V2.jpg,n,3,,
,,789854,1,Old,2023-11-18_20h36.25.864,Scene_Recog_Nov10,2022.2.2,Win32,29.9940012,,,,,,,,,,,,,,,foil,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,b,0,0.743,r,0.446,0,4,4,3,1,stimuli/scene/cactus_V2.jpg,n,4,,
,,789854,1,Old,2023-11-18_20h36.25.864,Scene_Recog_Nov10,2022.2.2,Win32,29.9940012,,,,,,,,,,,,,,,target,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,b,1,0.807,k,0.569,0,5,5,1,1,stimuli/scene/beach_V1.jpg,b,2,,
,,789854,1,Old,2023-11-18_20h36.25.864,Scene_Recog_Nov10,2022.2.2,Win32,29.9940012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,17.702
