consent_resp.keys,consent_resp.rt,participant,session,Age,date,expName,psychopyVersion,OS,frameRate,overview_resp.keys,overview_resp.rt,Pracstudy_resp.keys,Pracstudy_resp.rt,IndoorOutdoor_resp.keys,IndoorOutdoor_resp.corr,IndoorOutdoor_resp.rt,pracstudy_loop.thisRepN,pracstudy_loop.thisTrialN,pracstudy_loop.thisN,pracstudy_loop.thisIndex,pracstudy_loop.ran,scene_pracstudy,scene_pracstudy_corr,probe,phase,practest_instruct_resp.keys,practest_instruct_resp.rt,practest_instruct_loop.thisRepN,practest_instruct_loop.thisTrialN,practest_instruct_loop.thisN,practest_instruct_loop.thisIndex,practest_instruct_loop.ran,Practest_instruct_resp2.keys,Practest_instruct_resp2.rt,OldNew_resp.keys,OldNew_resp.corr,OldNew_resp.rt,PracTest_RK_resp.keys,practest_loop.thisRepN,practest_loop.thisTrialN,practest_loop.thisN,practest_loop.thisIndex,practest_loop.ran,scene_practest,scene_practest_corr,PracTest_RK_resp.rt,PracEnd_resp.keys,PracEnd_resp.rt,StartExp_resp.keys,StartExp_resp.rt,StudyInstruct_resp.keys,StudyInstruct_resp.rt,Study_IndoorOutdoor_resp.keys,Study_IndoorOutdoor_resp.corr,Study_IndoorOutdoor_resp.rt,study_loop.thisRepN,study_loop.thisTrialN,study_loop.thisN,study_loop.thisIndex,study_loop.ran,scene_study,scene_study_corr,block,studyscene_number,TestInstruct_resp.keys,TestInstruct_resp.rt,Test_OldNew_resp.keys,Test_OldNew_resp.corr,Test_OldNew_resp.rt,Test_RK_resp.keys,Test_RK_resp.rt,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,test_loop.ran,scene_test,scene_test_corr,testscene_number,End_Exp_resp.keys,End_Exp_resp.rt
,,spiderman,1,Old,2023-11-18_21h03.37.033,Scene_Recog_Nov10,2022.2.2,Win32,29.9940012,,,,,,,,,,,,,,,target,practest,,,,,,,,,,b,1,0.844,k,0,3,3,1,1,prac_stimuli/pracscene/air_V1.jpg,b,0.763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,spiderman,1,Old,2023-11-18_21h03.37.033,Scene_Recog_Nov10,2022.2.2,Win32,29.9940012,,,,,,,,,,,,,,,target,practest,,,,,,,,,,n,0,0.835,,0,4,4,4,1,prac_stimuli/pracscene/basketballschool_V1.jpg,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,spiderman,1,Old,2023-11-18_21h03.37.033,Scene_Recog_Nov10,2022.2.2,Win32,29.9940012,,,,,,,,,,,,,,,foil,practest,,,,,,,,,,n,1,0.761,,0,5,5,2,1,prac_stimuli/pracscene/brickroad_V1.jpg,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,spiderman,1,Old,2023-11-18_21h03.37.033,Scene_Recog_Nov10,2022.2.2,Win32,29.9940012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,spiderman,1,Old,2023-11-18_21h03.37.033,Scene_Recog_Nov10,2022.2.2,Win32,29.9940012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,spiderman,1,Old,2023-11-18_21h03.37.033,Scene_Recog_Nov10,2022.2.2,Win32,29.9940012,,,,,,,,,,,,,,,lure,study,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.579,o,1,1.287,0,0,0,0,1,stimuli/scene/barn_V2.jpg,o,1,1,,,,,,,,,,,,,,,,,
,,spiderman,1,Old,2023-11-18_21h03.37.033,Scene_Recog_Nov10,2022.2.2,Win32,29.9940012,,,,,,,,,,,,,,,foil,study,,,,,,,,,,,,,,,,,,,,,,,,,,,,o,1,0.708,0,1,1,3,1,stimuli/scene/bridge_V2.jpg,o,1,4,,,,,,,,,,,,,,,,,
,,spiderman,1,Old,2023-11-18_21h03.37.033,Scene_Recog_Nov10,2022.2.2,Win32,29.9940012,,,,,,,,,,,,,,,lure,study,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,1,0.939,0,2,2,5,1,stimuli/scene/butcher_V2.jpg,i,1,6,,,,,,,,,,,,,,,,,
,,spiderman,1,Old,2023-11-18_21h03.37.033,Scene_Recog_Nov10,2022.2.2,Win32,29.9940012,,,,,,,,,,,,,,,target,study,,,,,,,,,,,,,,,,,,,,,,,,,,,,o,1,0.673,0,3,3,1,1,stimuli/scene/beach_V1.jpg,o,1,2,,,,,,,,,,,,,,,,,
,,spiderman,1,Old,2023-11-18_21h03.37.033,Scene_Recog_Nov10,2022.2.2,Win32,29.9940012,,,,,,,,,,,,,,,foil,study,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,1,0.969,0,4,4,2,1,stimuli/scene/bed_V2.jpg,i,1,3,,,,,,,,,,,,,,,,,
,,spiderman,1,Old,2023-11-18_21h03.37.033,Scene_Recog_Nov10,2022.2.2,Win32,29.9940012,,,,,,,,,,,,,,,target,study,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,1,0.629,0,5,5,4,1,stimuli/scene/buffet_V2.jpg,i,1,5,,,,,,,,,,,,,,,,,
,,spiderman,1,Old,2023-11-18_21h03.37.033,Scene_Recog_Nov10,2022.2.2,Win32,29.9940012,,,,,,,,,,,,,,,lure,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,space,0.666,b,0,0.986,r,1.12,0,0,0,0,1,stimuli/scene/barn_V1.jpg,n,1,,
,,spiderman,1,Old,2023-11-18_21h03.37.033,Scene_Recog_Nov10,2022.2.2,Win32,29.9940012,,,,,,,,,,,,,,,foil,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,n,1,0.664,,,0,1,1,2,1,stimuli/scene/cattlefarm_V2.jpg,n,3,,
,,spiderman,1,Old,2023-11-18_21h03.37.033,Scene_Recog_Nov10,2022.2.2,Win32,29.9940012,,,,,,,,,,,,,,,lure,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,b,0,1.151,k,0.433,0,2,2,5,1,stimuli/scene/butcher_V1.jpg,n,6,,
,,spiderman,1,Old,2023-11-18_21h03.37.033,Scene_Recog_Nov10,2022.2.2,Win32,29.9940012,,,,,,,,,,,,,,,foil,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,n,1,0.72,,,0,3,3,3,1,stimuli/scene/cactus_V2.jpg,n,4,,
,,spiderman,1,Old,2023-11-18_21h03.37.033,Scene_Recog_Nov10,2022.2.2,Win32,29.9940012,,,,,,,,,,,,,,,target,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,n,0,1.575,,,0,4,4,4,1,stimuli/scene/buffet_V2.jpg,b,5,,
,,spiderman,1,Old,2023-11-18_21h03.37.033,Scene_Recog_Nov10,2022.2.2,Win32,29.9940012,,,,,,,,,,,,,,,target,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,b,1,0.498,r,0.328,0,5,5,1,1,stimuli/scene/beach_V1.jpg,b,2,,
