consent_resp.keys,consent_resp.rt,participant,session,Age,date,expName,psychopyVersion,OS,frameRate,overview_resp.keys,overview_resp.rt,Pracstudy_resp.keys,Pracstudy_resp.rt,IndoorOutdoor_resp.keys,IndoorOutdoor_resp.corr,IndoorOutdoor_resp.rt,pracstudy_loop.thisRepN,pracstudy_loop.thisTrialN,pracstudy_loop.thisN,pracstudy_loop.thisIndex,pracstudy_loop.ran,scene_pracstudy,scene_pracstudy_corr,probe,phase,practest_instruct_resp.keys,practest_instruct_resp.rt,practest_instruct_loop.thisRepN,practest_instruct_loop.thisTrialN,practest_instruct_loop.thisN,practest_instruct_loop.thisIndex,practest_instruct_loop.ran,Practest_instruct_resp2.keys,Practest_instruct_resp2.rt,OldNew_resp.keys,OldNew_resp.corr,OldNew_resp.rt,PracTest_RK_resp.keys,practest_loop.thisRepN,practest_loop.thisTrialN,practest_loop.thisN,practest_loop.thisIndex,practest_loop.ran,scene_practest,scene_practest_corr,PracTest_RK_resp.rt,PracEnd_resp.keys,PracEnd_resp.rt,StartExp_resp.keys,StartExp_resp.rt,StudyInstruct_resp.keys,StudyInstruct_resp.rt,Study_IndoorOutdoor_resp.keys,Study_IndoorOutdoor_resp.corr,Study_IndoorOutdoor_resp.rt,study_loop.thisRepN,study_loop.thisTrialN,study_loop.thisN,study_loop.thisIndex,study_loop.ran,scene_study,scene_study_corr,block,studyscene_number,TestInstruct_resp.keys,TestInstruct_resp.rt,Test_OldNew_resp.keys,Test_OldNew_resp.corr,Test_OldNew_resp.rt,Test_RK_resp.keys,Test_RK_resp.rt,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,test_loop.ran,scene_test,scene_test_corr,testscene_number,End_Exp_resp.keys,End_Exp_resp.rt
,,batman,1,Old,2023-11-18_21h07.31.819,Scene_Recog_Nov10,2022.2.2,Win32,60.0240096,,,,,,,,,,,,,,,,,right,0.002,6,0,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,batman,1,Old,2023-11-18_21h07.31.819,Scene_Recog_Nov10,2022.2.2,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,space,0.801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,batman,1,Old,2023-11-18_21h07.31.819,Scene_Recog_Nov10,2022.2.2,Win32,60.0240096,,,,,,,,,,,,,,,target,practest,,,,,,,,,,n,0,2.426,,0,0,0,4,1,prac_stimuli/pracscene/basketballschool_V1.jpg,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,batman,1,Old,2023-11-18_21h07.31.819,Scene_Recog_Nov10,2022.2.2,Win32,60.0240096,,,,,,,,,,,,,,,foil,practest,,,,,,,,,,b,0,1.639,r,0,1,1,3,1,prac_stimuli/pracscene/bike_V1.jpg,n,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,batman,1,Old,2023-11-18_21h07.31.819,Scene_Recog_Nov10,2022.2.2,Win32,60.0240096,,,,,,,,,,,,,,,lure,practest,,,,,,,,,,n,1,2.669,,0,2,2,0,1,prac_stimuli/pracscene/africaslums_V1.jpg,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,batman,1,Old,2023-11-18_21h07.31.819,Scene_Recog_Nov10,2022.2.2,Win32,60.0240096,,,,,,,,,,,,,,,lure,practest,,,,,,,,,,b,0,1.744,k,0,3,3,5,1,prac_stimuli/pracscene/bath_V2.jpg,n,0.362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,batman,1,Old,2023-11-18_21h07.31.819,Scene_Recog_Nov10,2022.2.2,Win32,60.0240096,,,,,,,,,,,,,,,target,practest,,,,,,,,,,b,1,0.966,r,0,4,4,1,1,prac_stimuli/pracscene/air_V1.jpg,b,0.332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,batman,1,Old,2023-11-18_21h07.31.819,Scene_Recog_Nov10,2022.2.2,Win32,60.0240096,,,,,,,,,,,,,,,foil,practest,,,,,,,,,,n,1,2.233,,0,5,5,2,1,prac_stimuli/pracscene/brickroad_V1.jpg,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,batman,1,Old,2023-11-18_21h07.31.819,Scene_Recog_Nov10,2022.2.2,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,batman,1,Old,2023-11-18_21h07.31.819,Scene_Recog_Nov10,2022.2.2,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,batman,1,Old,2023-11-18_21h07.31.819,Scene_Recog_Nov10,2022.2.2,Win32,60.0240096,,,,,,,,,,,,,,,foil,study,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.703,i,1,0.747,0,0,0,2,1,stimuli/scene/bed_V2.jpg,i,1,3,,,,,,,,,,,,,,,,,
,,batman,1,Old,2023-11-18_21h07.31.819,Scene_Recog_Nov10,2022.2.2,Win32,60.0240096,,,,,,,,,,,,,,,target,study,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,1,0.677,0,1,1,4,1,stimuli/scene/buffet_V2.jpg,i,1,5,,,,,,,,,,,,,,,,,
,,batman,1,Old,2023-11-18_21h07.31.819,Scene_Recog_Nov10,2022.2.2,Win32,60.0240096,,,,,,,,,,,,,,,lure,study,,,,,,,,,,,,,,,,,,,,,,,,,,,,o,1,1.049,0,2,2,0,1,stimuli/scene/barn_V2.jpg,o,1,1,,,,,,,,,,,,,,,,,
,,batman,1,Old,2023-11-18_21h07.31.819,Scene_Recog_Nov10,2022.2.2,Win32,60.0240096,,,,,,,,,,,,,,,lure,study,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,1,0.678,0,3,3,5,1,stimuli/scene/butcher_V2.jpg,i,1,6,,,,,,,,,,,,,,,,,
,,batman,1,Old,2023-11-18_21h07.31.819,Scene_Recog_Nov10,2022.2.2,Win32,60.0240096,,,,,,,,,,,,,,,foil,study,,,,,,,,,,,,,,,,,,,,,,,,,,,,o,1,0.852,0,4,4,3,1,stimuli/scene/bridge_V2.jpg,o,1,4,,,,,,,,,,,,,,,,,
,,batman,1,Old,2023-11-18_21h07.31.819,Scene_Recog_Nov10,2022.2.2,Win32,60.0240096,,,,,,,,,,,,,,,target,study,,,,,,,,,,,,,,,,,,,,,,,,,,,,o,1,1.013,0,5,5,1,1,stimuli/scene/beach_V1.jpg,o,1,2,,,,,,,,,,,,,,,,,
,,batman,1,Old,2023-11-18_21h07.31.819,Scene_Recog_Nov10,2022.2.2,Win32,60.0240096,,,,,,,,,,,,,,,target,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,space,1.012,b,1,0.952,r,0.66,0,0,0,1,1,stimuli/scene/beach_V1.jpg,b,2,,
,,batman,1,Old,2023-11-18_21h07.31.819,Scene_Recog_Nov10,2022.2.2,Win32,60.0240096,,,,,,,,,,,,,,,lure,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,n,1,1.088,,,0,1,1,5,1,stimuli/scene/butcher_V1.jpg,n,6,,
,,batman,1,Old,2023-11-18_21h07.31.819,Scene_Recog_Nov10,2022.2.2,Win32,60.0240096,,,,,,,,,,,,,,,lure,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,b,0,0.703,k,0.917,0,2,2,0,1,stimuli/scene/barn_V1.jpg,n,1,,
,,batman,1,Old,2023-11-18_21h07.31.819,Scene_Recog_Nov10,2022.2.2,Win32,60.0240096,,,,,,,,,,,,,,,foil,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,n,1,1.172,,,0,3,3,3,1,stimuli/scene/cactus_V2.jpg,n,4,,
